id	posx	posy	h	type
430	-0.466000	0.018000	0.010000	0
431	-0.458000	0.018000	0.010000	0
432	-0.450000	0.018000	0.010000	0
433	-0.442000	0.018000	0.010000	0
434	-0.434000	0.018000	0.010000	0
435	-0.426000	0.018000	0.010000	0
436	-0.418000	0.018000	0.010000	0
437	-0.410000	0.018000	0.010000	0
438	-0.402000	0.018000	0.010000	0
439	-0.394000	0.018000	0.010000	0
440	-0.386000	0.018000	0.010000	0
441	-0.378000	0.018000	0.010000	0
442	-0.370000	0.018000	0.010000	0
443	-0.362000	0.018000	0.010000	0
444	-0.490000	0.026000	0.010000	0
445	-0.482000	0.026000	0.010000	0
446	-0.474000	0.026000	0.010000	0
447	-0.466000	0.026000	0.010000	0
448	-0.458000	0.026000	0.010000	0
449	-0.450000	0.026000	0.010000	0
450	-0.442000	0.026000	0.010000	0
451	-0.434000	0.026000	0.010000	0
452	-0.426000	0.026000	0.010000	0
453	-0.418000	0.026000	0.010000	0
454	-0.410000	0.026000	0.010000	0
455	-0.402000	0.026000	0.010000	0
456	-0.394000	0.026000	0.010000	0
457	-0.386000	0.026000	0.010000	0
458	-0.378000	0.026000	0.010000	0
459	-0.370000	0.026000	0.010000	0
460	-0.362000	0.026000	0.010000	0
461	-0.490000	0.034000	0.010000	0
462	-0.482000	0.034000	0.010000	0
463	-0.474000	0.034000	0.010000	0
464	-0.466000	0.034000	0.010000	0
465	-0.458000	0.034000	0.010000	0
466	-0.450000	0.034000	0.010000	0
467	-0.442000	0.034000	0.010000	0
468	-0.434000	0.034000	0.010000	0
469	-0.426000	0.034000	0.010000	0
470	-0.418000	0.034000	0.010000	0
471	-0.410000	0.034000	0.010000	0
472	-0.402000	0.034000	0.010000	0
473	-0.394000	0.034000	0.010000	0
474	-0.386000	0.034000	0.010000	0
475	-0.378000	0.034000	0.010000	0
476	-0.370000	0.034000	0.010000	0
477	-0.362000	0.034000	0.010000	0
478	-0.490000	0.042000	0.010000	0
479	-0.482000	0.042000	0.010000	0
480	-0.474000	0.042000	0.010000	0
481	-0.466000	0.042000	0.010000	0
482	-0.458000	0.042000	0.010000	0
483	-0.450000	0.042000	0.010000	0
484	-0.442000	0.042000	0.010000	0
485	-0.434000	0.042000	0.010000	0
486	-0.426000	0.042000	0.010000	0
487	-0.418000	0.042000	0.010000	0
488	-0.410000	0.042000	0.010000	0
489	-0.402000	0.042000	0.010000	0
490	-0.394000	0.042000	0.010000	0
491	-0.386000	0.042000	0.010000	0
492	-0.378000	0.042000	0.010000	0
493	-0.370000	0.042000	0.010000	0
494	-0.362000	0.042000	0.010000	0
495	-0.490000	0.050000	0.010000	0
496	-0.482000	0.050000	0.010000	0
497	-0.474000	0.050000	0.010000	0
498	-0.466000	0.050000	0.010000	0
499	-0.458000	0.050000	0.010000	0
500	-0.450000	0.050000	0.010000	0
501	-0.442000	0.050000	0.010000	0
502	-0.434000	0.050000	0.010000	0
503	-0.426000	0.050000	0.010000	0
504	-0.418000	0.050000	0.010000	0
505	-0.410000	0.050000	0.010000	0
506	-0.402000	0.050000	0.010000	0
507	-0.394000	0.050000	0.010000	0
508	-0.386000	0.050000	0.010000	0
509	-0.378000	0.050000	0.010000	0
510	-0.370000	0.050000	0.010000	0
511	-0.362000	0.050000	0.010000	0
512	-0.490000	0.058000	0.010000	0
513	-0.482000	0.058000	0.010000	0
514	-0.474000	0.058000	0.010000	0
515	-0.466000	0.058000	0.010000	0
516	-0.458000	0.058000	0.010000	0
517	-0.450000	0.058000	0.010000	0
518	-0.442000	0.058000	0.010000	0
519	-0.434000	0.058000	0.010000	0
520	-0.426000	0.058000	0.010000	0
521	-0.418000	0.058000	0.010000	0
522	-0.410000	0.058000	0.010000	0
523	-0.402000	0.058000	0.010000	0
524	-0.394000	0.058000	0.010000	0
525	-0.386000	0.058000	0.010000	0
526	-0.378000	0.058000	0.010000	0
527	-0.370000	0.058000	0.010000	0
528	-0.362000	0.058000	0.010000	0
529	-0.490000	0.066000	0.010000	0
530	-0.482000	0.066000	0.010000	0
531	-0.474000	0.066000	0.010000	0
532	-0.466000	0.066000	0.010000	0
533	-0.458000	0.066000	0.010000	0
534	-0.450000	0.066000	0.010000	0
535	-0.442000	0.066000	0.010000	0
536	-0.434000	0.066000	0.010000	0
537	-0.426000	0.066000	0.010000	0
538	-0.418000	0.066000	0.010000	0
539	-0.410000	0.066000	0.010000	0
540	-0.402000	0.066000	0.010000	0
541	-0.394000	0.066000	0.010000	0
542	-0.386000	0.066000	0.010000	0
543	-0.378000	0.066000	0.010000	0
544	-0.370000	0.066000	0.010000	0
545	-0.362000	0.066000	0.010000	0
